order,id,class,brand,pattern,kind,reason,evidence,example_brand,example_model
21,phev-ferrari,PHEV,^FERRARI$,\bSF90\b|\b296\b|\b849\b,model,"Ferrari SF90, 296 and 849 are plug-in hybrids.",Ferrari nomenclature.,FERRARI,296 GTS
22,phev-byd-shark,PHEV,^BYD$,\bSHARK\b,model,BYD Shark is a plug-in hybrid pickup (DMO). Most registrations say 'SHARK DMO' (caught by phev-dm-idm) but some are just 'SHARK GS' - without this rule the BYD brand rule would call them BEV.,BYD Argentina Shark spec (1.5 T + DM-o plug-in system); found by the per-rule review of 2026-09 (2 units).,BYD,SHARK GS
23,mhev-token,MHEV,,\bMHEV\b|MILD ?-?HYBRID|\b48 ?V\b|MICRO ?-?HIBRID,token,"Explicit mild-hybrid markers ('MHEV', 'MILD HYBRID', '48V'). Runs before the generic HEV rule because designations like 'TIGGO 7 PRO HYBRID 1.5T MHEV' contain both words.",Designation text; ACARA counts the Tiggo 7 Pro Hybrid as MHEV.,CHERY,TIGGO 7 PRO HYBRID 1.5T MHEV PREMIUM
24,mhev-suzuki-hybrid,MHEV,^SUZUKI$,HYBRID|SHVS,brand-code,"Suzuki 'Hybrid' in Argentina is the 12 V SHVS mild hybrid (Swift Hybrid, Across Hybrid). A future Suzuki strong hybrid would need its own rule above this one.","suzuki.com.ar Across Hybrid: 1.5 + 12 V battery, 2.35 CV assist (autocosmos / autoweb 2026-08).",SUZUKI,SWIFT HYBRID GLX CVT
25,mhev-stellantis-hybrid,MHEV,^(PEUGEOT|CITROEN|DS|OPEL|FIAT|JEEP|ALFA ROMEO|LANCIA)$,HYBRID,brand-code,"Stellantis 'Hybrid' (Fiat 600 Hybrid 1.2 eDCT, Citroën C4 Hybrid, DS 3/4 Hybrid, Peugeot T200 Hybrid, Fiat 500 Hybrid) are 48 V / 12 V mild hybrids. Plug-ins are caught above.",Stellantis Argentina: 208/2008 T200 Hybrid is a 12 V belt starter-generator (autocosmos 2025-09-05); ACARA counts the Fiat 600 Hybrid as MHEV.,FIAT,600 HYBRID 1.2 EDCT
26,mhev-volvo-b-engines,MHEV,^VOLVO$,\bB[3-6]\b,brand-code,Volvo 'B3/B4/B5/B6' engines are 48 V mild hybrids.,Volvo nomenclature.,VOLVO,XC40 B4
27,mhev-audi-q5-gen3,MHEV,^AUDI$,^(Q5( SPORTBACK)? (ADVANCED( PLUS)?|S LINE)|SQ5 SPORTBACK)$,model,Third-generation Audi Q5 / SQ5 (in Argentina from 2025-11): every version has the 48 V MHEV system. Matched by the exact new designations; the old generation's strings carry '45 TFSI' and stay ICE.,Audi Argentina launch: all versions '48V mild-hybrid' (16valvulas / megautos 2025-11).,AUDI,Q5 SPORTBACK S LINE
28,hev-renault-full-hybrid,HEV,^RENAULT$,FULL HYBRID,model,Renault 'FULL HYBRID E-TECH' (Koleos) is a full hybrid. Must run before the Renault mild-hybrid rule.,Designation text.,RENAULT,KOLEOS ESPRIT ALPINE FULL HYBRID E-TECH
29,mhev-renault-hybrid,MHEV,^RENAULT$,HYBRID,brand-code,"The Argentine Renault Arkana 'E-TECH HYBRID' is the 1.3 TCe 140 with a 12 V belt starter-generator — a mild hybrid, not the European 1.6 E-Tech full hybrid. ACARA counts it as MHEV too.","Renault Argentina launch (losandes / autocosmos 2025-04): 1.3 turbo 140 CV, 'Mild Hybrid'; ACARA MHEV ranking lists the Arkana.",RENAULT,ARKANA E-TECH HYBRID ESPRIT ALPINE
30,hev-token,HEV,,(?<![PM])HEV\b|HYBRID|HIBRID|E-?POWER\b|E:HEV|SELF-?CHARG,token,"Full-hybrid markers: 'HEV'/'FHEV' (not preceded by P or M), 'HYBRID', 'HÍBRIDO/A', Nissan 'e-POWER' (series hybrid), Honda 'e:HEV'. Only reached after every plug-in and mild-hybrid rule has had its chance.","Designation text; ACARA: Ford Territory 1.5 'HIBRIDA' = HEV (4,903 in H1-2026).",TOYOTA,COROLLA CROSS SEG HEV 1.8 ECVT
31,hev-lexus-h,HEV,^LEXUS$,\d{3}H\b,brand-code,"Lexus 'h' suffix (UX 250h, NX 350h, RX 500h) = full hybrid.",Lexus nomenclature.,LEXUS,UX 250H
32,hev-toyota-hv,HEV,^TOYOTA$,\bPRIUS\b|\bHV\b,brand-code,"Toyota Argentina's older hybrid badge is 'HV' (Hybrid Vehicle): Corolla HV, Corolla Cross HV, RAV4 HV, C-HR HV, Camry HV, Prius HV (2019–2023; newer designations say 'HEV'). Plus the Prius itself. A plug-in Toyota says 'PHEV' and is caught earlier.",Toyota Argentina model line-up (Corolla 1.8 HV = hybrid); Corolla Cross HV/HEV volumes match ACARA's Corolla Cross HEV total.,TOYOTA,COROLLA HV 1.8 SEG ECVT
33,hev-baic-bj30,HEV,^BAIC$,\bBJ30,model,"BAIC BJ30 (registered as 'BJ30E') is the BJ30 Hybrid: 1.5 T with a dedicated hybrid transmission, no plug. Argentina's third-best-selling electrified car.","BAIC Argentina: 'híbrida no enchufable (HEV)'; ACARA H1-2026 ranking: BAIC BJ30 3,702 (ours 3,702).",BAIC,BJ30E
34,bev-token,BEV,,\bELECTRIC[OA]?\b|\(B?EV\)|\bB?EV\b|\bE-TRON\b|\bZ\.?E\.?\b|\bTAYCAN\b|MACH-E|\bEQ[ABCEGSV]\b|\bEQ[ABCEGSV] ?\d,token,"Battery-electric markers: 'EV', 'BEV', 'ELÉCTRICO/A', Audi 'e-tron', Renault 'Z.E.', Porsche Taycan, Ford Mach-E, Mercedes EQ family. 'EV' must be a whole word so 'HEV'/'PHEV' can never match.","Designation text; ACARA BEV total H1-2026 matched exactly (3,877).",BYD,DOLPHIN MINI EV GS
35,bev-renault,BEV,^RENAULT$,E-TECH|\bZOE\b|\bTWIZY\b,brand-code,"Renault 'E-TECH' without 'HYBRID' is battery-electric (Kwid E-Tech, Megane E-Tech, Kangoo E-Tech). Hybrids were caught above.",Renault nomenclature.,,
36,bev-nissan,BEV,^NISSAN$,\bLEAF\b|\bARIYA\b,model,"Nissan Leaf, Ariya.",Nissan nomenclature.,NISSAN,LEAF TEKNA
37,bev-chevrolet,BEV,^CHEVROLET$,\bBOLT\b|\bEUV\b|\bBLAZER EV|\bEQUINOX EV,model,"Chevrolet Bolt / Bolt EUV, Spark EUV (Chevrolet's small EV, 2025+), Blazer EV, Equinox EV.",Chevrolet Argentina Spark EUV spec.,CHEVROLET,SPARK EUV ACTIV
38,bev-toyota-subaru-lexus,BEV,^(TOYOTA|SUBARU|LEXUS)$,\bBZ ?4X\b|\bSOLTERRA\b|\bRZ ?\d,model,"Toyota bZ4X, Subaru Solterra, Lexus RZ.",Manufacturer nomenclature.,,
39,bev-bmw-i,BEV,^BMW$,\bI[3-7]\b|\bIX\d?\b,model,"BMW i3/i4/i5/i7, iX/iX1/iX2/iX3.",BMW nomenclature.,BMW,IX2 XDRIVE30
40,bev-mini,BEV,^MINI$,\bACEMAN\b|\bCOOPER S?E\b|\bCOUNTRYMAN S?E\b,model,"MINI Aceman, Cooper E/SE, Countryman E/SE (current generation: electric).",MINI nomenclature.,MINI,ACEMAN SE
41,bev-volvo,BEV,^VOLVO$,\bE[XCS] ?\d{2}\b|\bC40\b|\bP[68]\b|PURE ELECTRIC,model,"Volvo EX30/EX40/EC40/EX90, C40, 'P6/P8' (Recharge Twin).",Volvo nomenclature.,VOLVO,EX30
42,bev-stellantis-e,BEV,^(PEUGEOT|CITROEN|DS|OPEL|FIAT|JEEP|ALFA ROMEO|LANCIA)$,\bE-?(208|2008|3008|5008|308|C3|C4|PARTNER|BERLINGO|EXPERT|JUMPY|DOBLO|SCUDO|DUCATO|AVENGER)\b|\b(500|600) ?E\b,model,"Stellantis electric models: e-208, e-2008, ë-C3, 500e, 600e, …",Stellantis nomenclature.,PEUGEOT,E2008 GT AM25
43,bev-porsche-macan,BEV,^PORSCHE$,\bMACAN (4S?|ELECTRIC|TURBO ELECTRIC)\b,model,"Electric Macan 4 / 4S. Plain 'MACAN', 'T', 'S', 'GTS', 'TURBO' are ambiguous across generations and stay ICE (known limitation, ~80 units since 2024).",Porsche nomenclature.,PORSCHE,MACAN 4
44,bev-jaguar,BEV,^JAGUAR$,\bI-?PACE\b,model,Jaguar I-Pace.,Anticipatory.,,
45,bev-hyundai,BEV,^HYUNDAI$,\bIONIQ ?[569]\b|IONIQ ELECTRIC|\bKONA (EV|ELECTRIC)|\bINSTER\b,model,"Hyundai Ioniq 5/6/9, Ioniq Electric, Kona Electric, Inster.",Anticipatory.,,
46,bev-kia,BEV,^KIA$,\bEV ?\d\b|\bE-?NIRO\b|\bSOUL EV\b,model,"Kia EV3/EV5/EV6/EV9, e-Niro, Soul EV.",Anticipatory.,,
47,bev-ford,BEV,^FORD$,\bE-?TRANSIT\b|TRANSIT .*\bBEV\b|LIGHTNING,model,"Ford E-Transit, F-150 Lightning.",Ford nomenclature.,,
48,bev-jac,BEV,^JAC$,\bI?EV\d*|\bE-?JS\d|\bE10X\b|\bE-?J7\b,model,JAC iEV / E-JS1 / E-JS4 / E10X / EV30X.,JAC nomenclature.,JAC,EV30X LUXURY
49,bev-suzuki-evitara,BEV,^SUZUKI$,\bE ?-?VITARA\b,model,Suzuki e Vitara (runs before nothing that could steal it; listed for completeness).,Anticipatory.,,
50,bev-geely,BEV,^GEELY$,\bEX ?\d\b|\bGEOMETRY\b|\bGALAXY E|\bE5\b,model,"Geely EX5, Geometry, Galaxy E5.",Geely Argentina EX5 (BEV).,GEELY,EX5
51,bev-gwm-ora,BEV,^(GREAT WALL|GWM|ORA)$,\bORA\b|\bGOOD CAT\b,model,GWM ORA 03 (Good Cat).,GWM nomenclature.,GREAT WALL,ORA 03
52,bev-dongfeng,BEV,^DONGFENG$,^BOX\b|\bNAMMI\b|\bE70\b|\bEX1\b,model,"Dongfeng Box (Nammi), E70, EX1. Anchored so pickup 'BOX' bodies of other brands can never match.",Dongfeng nomenclature.,DONGFENG,BOX
53,bev-changan,BEV,^CHANGAN$,\bDEEPAL\b|\bE-?STAR\b|\bLUMIN\b,model,"Changan Deepal (non-REEV; REEV caught above), E-Star, Lumin.",Changan nomenclature.,CHANGAN,DEEPAL S05
54,bev-baic,BEV,^BAIC$,\bEU5\b|\bEX\d|ARCFOX,model,"BAIC EU5 (electric sedan; the petrol one is 'U5 PLUS'), EX-series.",BAIC nomenclature.,BAIC,EU5
55,bev-dfsk-ec,BEV,^DFSK$,\bEC3\d\b|\bSERES\b,model,"DFSK EC31/EC35 electric vans, Seres.",DFSK nomenclature.,DFSK,EC31
56,bev-maxus,BEV,^MAXUS$,\bE-?(TERRON|DELIVER|T90)|\bEUNIQ\b|\bMIFA\b,model,"Maxus eTerron, eDeliver, eT90, Euniq, Mifa.",Maxus nomenclature.,MAXUS,E-TERRON 9
57,bev-hongqi,BEV,^HONGQI$,\bE-?(HS|QM)\d,model,"Hongqi E-HS9, E-QM5.",Anticipatory.,,
58,bev-smart,BEV,^SMART$,#\d|\bEQ\b|FORTWO EQ,model,"smart #1/#3/#5, EQ fortwo (old petrol forfour/fortwo stay ICE).",smart nomenclature.,,
59,bev-pure-ev-brands,BEV,^(BYD|TESLA|LEAPMOTOR|ZEEKR|NETA|XPENG|NIO|POLESTAR|AVATR|DEEPAL|VOYAH|RIDDARA|SERO|CORADIR|XEV|FONIX|JMEV|ARCFOX|XIAOMI)$,.,brand-all,"Brands whose every model sold in Argentina is battery-electric once their plug-in/REEV models have been caught by the rules above. BYD: every non-DM model (and non-Shark) is a BEV. Leapmotor, Deepal and Avatr also sell range-extender versions, but those carry 'REEV' in the DNRPA designation (observed: 'LEAPMOTOR C10 REEV', 'DEEPAL S07 REEV') and are caught by erev-token first. JMEV, ARCFOX, Xiaomi, Tesla, … are EV-only. A brand in this list must be re-checked whenever it launches a hybrid in Argentina — the new-designation report flags every new model of it.","BYD Argentina line-up (Dolphin Mini, Yuan Pro = EV; Song Pro, Atto 2, Seal U, Shark = DM); ACARA BEV total matched exactly.",JMEV,EVEASY 3
