key,value,unit,basis,source
# CO2e of building the car or its battery (a separate, embodied-emissions question).
# Same convention on both sides so the comparison is fair: an upstream chain plus
# the emissions at the point of use.
#
# Fuels: well-to-wheel CO2e per kWh of fuel at the tank (tailpipe combustion plus
# the well-to-tank chain), from JEC WTW v5 - the same source family as the energy
# well-to-tank factors above, kept consistent on purpose.
ghg_petrol,0.320,kgCO2e/kWh_fuel,literature,"JEC WTW v5 - petrol ~89 gCO2e/MJ WTW (tailpipe ~73 + well-to-tank ~16)"
ghg_diesel,0.328,kgCO2e/kWh_fuel,literature,"JEC WTW v5 - diesel ~91 gCO2e/MJ WTW"
ghg_gasfuel,0.252,kgCO2e/kWh_fuel,literature,"JEC WTW v5 - LPG/CNG ~70 gCO2e/MJ WTW; less carbon per kWh than petrol"
#
# Electricity: grid CO2e intensity per kWh GENERATED, as a directly SOURCED value
# with a decarbonisation trajectory. The emissions timeline offers two scenarios:
#   "linear"   - linear from grid_co2_now (at grid_co2_base_year, the last actual
#                grid figure) to grid_co2_target (at grid_co2_target_year), flat
#                after. The realistic forward view.
#   "constant" - today's grid held forever: the honest worst case for the
#                electrified side, and the "keep today's grid mix" what-if.
# One sourced value now, one sourced target - so the whole trajectory is citeable
# and easy to swap for a different scenario (change the four rows below).
grid_co2_now,0.480,kgCO2e/kWh_gen,measured,"Ember Global Electricity Review 2024 - world average ~480 gCO2/kWh (2023)"
grid_co2_target,0.020,kgCO2e/kWh_gen,scenario,"IEA Net Zero by 2050 (NZE) - global electricity ~net-zero by 2040, ~20 gCO2/kWh residual"
grid_co2_base_year,2023,year,measured,"data year for grid_co2_now (Ember)"
grid_co2_target_year,2040,year,scenario,"IEA NZE - global electricity reaches ~net-zero"
